qid_hash,doc_id_hash,has_evidence_gold
h_f1f5f9c0f44f145b,h_1048101064e0ae6a,True
h_1dd576d381884210,h_e6a9dff68bc12a76,True
h_1dd576d381884210,h_410a2cade75a904d,True
h_1dd576d381884210,h_eb7cc1554da50479,True
h_1dd576d381884210,h_b01641792dd15a1a,True
h_1dd576d381884210,h_7a7d83bb45a70ac8,True
h_9e14977944920e9e,h_7f60a83e267126dd,True
h_9e14977944920e9e,h_6acdd797b432fda0,True
h_9e14977944920e9e,h_627b1063eebfb16e,True
h_9e14977944920e9e,h_a01dca53244e19ee,True
h_eca58cdb96880d39,h_1b210f4f532564ce,True
h_eca58cdb96880d39,h_b5d2d4fa1ceb8758,True
h_eca58cdb96880d39,h_d107aa3868e21141,True
h_eca58cdb96880d39,h_3579e45d2b56e544,True
h_eca58cdb96880d39,h_835291680006f657,True
h_eca58cdb96880d39,h_a8ea14917e53b06f,True
h_f81699fba4a145ac,h_96dc5532a3c26991,True
h_f81699fba4a145ac,h_6ebdea409fffb43a,True
h_f81699fba4a145ac,h_325596c50d507a72,True
h_f81699fba4a145ac,h_6359d813cd164de8,True
h_f81699fba4a145ac,h_42400c87b23e4deb,True
h_25f09691189e7d21,h_b4d7d73c49a3593c,True
h_25f09691189e7d21,h_f001e2493b0d251a,True
h_25f09691189e7d21,h_835291680006f657,True
h_25f09691189e7d21,h_b72d97d3531c39f1,True
h_16d62500f29d3587,h_c4415879e8bc384e,True
h_16d62500f29d3587,h_286ef973a76b3def,True
h_16d62500f29d3587,h_65a352cec8b9b387,True
h_16d62500f29d3587,h_69589b15e9e9809f,True
h_16d62500f29d3587,h_0212304e6463b080,True
h_16d62500f29d3587,h_7619a3b30b34ab09,True
h_16d62500f29d3587,h_4f4e6a315f7a4ee9,True
h_16d62500f29d3587,h_0af17d1851b9e040,True
h_66b704865d1ca4ee,h_06a6866c1ef0b7ed,True
h_66b704865d1ca4ee,h_ab7a55fb0b9ae7be,True
h_66b704865d1ca4ee,h_2d08e0c4c2fd163b,True
h_66b704865d1ca4ee,h_f884acb506453467,True
h_3852d79299a2988a,h_96dc5532a3c26991,True
h_3852d79299a2988a,h_046bdef0faf03473,True
h_3852d79299a2988a,h_9122a4fe98154284,True
h_3852d79299a2988a,h_0782c2a935ae0232,True
h_3852d79299a2988a,h_074fd4d4e1b812ae,True
h_1ffcfbd1fc2931b5,h_e6a9dff68bc12a76,True
h_1ffcfbd1fc2931b5,h_6359d813cd164de8,True
h_1ffcfbd1fc2931b5,h_08a45ef6f528a848,True
h_1ffcfbd1fc2931b5,h_b5d2d4fa1ceb8758,True
h_1ffcfbd1fc2931b5,h_fc27d8b159be329e,True
h_1ffcfbd1fc2931b5,h_bbeecc85e1b82c28,True
h_1ffcfbd1fc2931b5,h_a0151bcccaff16ac,True
h_9fb65af2a8f3e24f,h_585a8335ee9feb49,True
h_9fb65af2a8f3e24f,h_6359d813cd164de8,True
h_9fb65af2a8f3e24f,h_08a45ef6f528a848,True
h_11ebeb1cd1844431,h_7dcfb2f56b8df187,True
h_11ebeb1cd1844431,h_5cd669c3cbd57b89,True
h_11ebeb1cd1844431,h_a6b2500c5887f804,True
h_11ebeb1cd1844431,h_a01dca53244e19ee,True
