qid_hash,doc_id_hash,source
h_f1f5f9c0f44f145b,h_1048101064e0ae6a,formal300_human_annotation
h_1dd576d381884210,h_e6a9dff68bc12a76,formal300_human_annotation
h_1dd576d381884210,h_410a2cade75a904d,formal300_human_annotation
h_1dd576d381884210,h_eb7cc1554da50479,formal300_human_annotation
h_1dd576d381884210,h_b01641792dd15a1a,formal300_human_annotation
h_1dd576d381884210,h_7a7d83bb45a70ac8,formal300_human_annotation
h_9e14977944920e9e,h_7f60a83e267126dd,formal300_human_annotation
h_9e14977944920e9e,h_6acdd797b432fda0,formal300_human_annotation
h_9e14977944920e9e,h_627b1063eebfb16e,formal300_human_annotation
h_9e14977944920e9e,h_a01dca53244e19ee,formal300_human_annotation
h_eca58cdb96880d39,h_1b210f4f532564ce,formal300_human_annotation
h_eca58cdb96880d39,h_b5d2d4fa1ceb8758,formal300_human_annotation
h_eca58cdb96880d39,h_d107aa3868e21141,formal300_human_annotation
h_eca58cdb96880d39,h_3579e45d2b56e544,formal300_human_annotation
h_eca58cdb96880d39,h_835291680006f657,formal300_human_annotation
h_eca58cdb96880d39,h_a8ea14917e53b06f,formal300_human_annotation
h_f81699fba4a145ac,h_96dc5532a3c26991,formal300_human_annotation
h_f81699fba4a145ac,h_6ebdea409fffb43a,formal300_human_annotation
h_f81699fba4a145ac,h_325596c50d507a72,formal300_human_annotation
h_f81699fba4a145ac,h_6359d813cd164de8,formal300_human_annotation
h_f81699fba4a145ac,h_42400c87b23e4deb,formal300_human_annotation
h_25f09691189e7d21,h_b4d7d73c49a3593c,formal300_human_annotation
h_25f09691189e7d21,h_f001e2493b0d251a,formal300_human_annotation
h_25f09691189e7d21,h_835291680006f657,formal300_human_annotation
h_25f09691189e7d21,h_b72d97d3531c39f1,formal300_human_annotation
h_16d62500f29d3587,h_c4415879e8bc384e,formal300_human_annotation
h_16d62500f29d3587,h_286ef973a76b3def,formal300_human_annotation
h_16d62500f29d3587,h_65a352cec8b9b387,formal300_human_annotation
h_16d62500f29d3587,h_69589b15e9e9809f,formal300_human_annotation
h_16d62500f29d3587,h_0212304e6463b080,formal300_human_annotation
h_16d62500f29d3587,h_7619a3b30b34ab09,formal300_human_annotation
h_16d62500f29d3587,h_4f4e6a315f7a4ee9,formal300_human_annotation
h_16d62500f29d3587,h_0af17d1851b9e040,formal300_human_annotation
h_66b704865d1ca4ee,h_06a6866c1ef0b7ed,formal300_human_annotation
h_66b704865d1ca4ee,h_ab7a55fb0b9ae7be,formal300_human_annotation
h_66b704865d1ca4ee,h_2d08e0c4c2fd163b,formal300_human_annotation
h_66b704865d1ca4ee,h_f884acb506453467,formal300_human_annotation
h_3852d79299a2988a,h_96dc5532a3c26991,formal300_human_annotation
h_3852d79299a2988a,h_046bdef0faf03473,formal300_human_annotation
h_3852d79299a2988a,h_9122a4fe98154284,formal300_human_annotation
h_3852d79299a2988a,h_0782c2a935ae0232,formal300_human_annotation
h_3852d79299a2988a,h_074fd4d4e1b812ae,formal300_human_annotation
h_1ffcfbd1fc2931b5,h_e6a9dff68bc12a76,formal300_human_annotation
h_1ffcfbd1fc2931b5,h_6359d813cd164de8,formal300_human_annotation
h_1ffcfbd1fc2931b5,h_08a45ef6f528a848,formal300_human_annotation
h_1ffcfbd1fc2931b5,h_b5d2d4fa1ceb8758,formal300_human_annotation
h_1ffcfbd1fc2931b5,h_fc27d8b159be329e,formal300_human_annotation
h_1ffcfbd1fc2931b5,h_bbeecc85e1b82c28,formal300_human_annotation
h_1ffcfbd1fc2931b5,h_a0151bcccaff16ac,formal300_human_annotation
h_9fb65af2a8f3e24f,h_585a8335ee9feb49,formal300_human_annotation
h_9fb65af2a8f3e24f,h_6359d813cd164de8,formal300_human_annotation
h_9fb65af2a8f3e24f,h_08a45ef6f528a848,formal300_human_annotation
h_11ebeb1cd1844431,h_7dcfb2f56b8df187,formal300_human_annotation
h_11ebeb1cd1844431,h_5cd669c3cbd57b89,formal300_human_annotation
h_11ebeb1cd1844431,h_a6b2500c5887f804,formal300_human_annotation
h_11ebeb1cd1844431,h_a01dca53244e19ee,formal300_human_annotation
h_3b859581fd395a81,h_96dc5532a3c26991,formal300_human_annotation
h_3b859581fd395a81,h_0b507009863037ed,formal300_human_annotation
h_3b859581fd395a81,h_ead06ff34c8f04a0,formal300_human_annotation
h_3b859581fd395a81,h_66da5b8ff62628f8,formal300_human_annotation
h_3b859581fd395a81,h_3da514cd1b3a1c4e,formal300_human_annotation
h_3b859581fd395a81,h_3518edfcd267df99,formal300_human_annotation
h_3b859581fd395a81,h_e1263c1b5373b337,formal300_human_annotation
h_f73c33b00131d4a3,h_12c56d047da96556,formal300_human_annotation
h_f73c33b00131d4a3,h_3d41ff4025e5120c,formal300_human_annotation
h_3bbfd8c7edbcf7a9,h_4a0ac5b57e847f76,formal300_human_annotation
