source_id,qid_hash,doc_id_hash,source_file,row_hash,usage_scope
human_gold_000001,h_2a3319e306b8c95e,h_349659fcf185df89,data\annotations\formal300\evidence_annotation_a.csv,d3a6565cc791d34c8d218f3acf6ab7febe2aa4fcf0b2e270d09b3f82609a5c3d,injector_and_evaluator_only
human_gold_000002,h_2a3319e306b8c95e,h_4633771bf5c85b3f,data\annotations\formal300\evidence_annotation_a.csv,4136f266457a52b6fdc179bc5ce110a48ad4a41294f0f56f3c8d0966010a28dc,injector_and_evaluator_only
human_gold_000003,h_2a3319e306b8c95e,h_fd7b8f69e54dcf17,data\annotations\formal300\evidence_annotation_a.csv,5154f6ec7e3a5c0ccbd7d0d23d41bada6864d4b01b50f94ea46781a73ae3782b,injector_and_evaluator_only
human_gold_000004,h_2a3319e306b8c95e,h_120a878ecc430747,data\annotations\formal300\evidence_annotation_a.csv,25e56f2f82b70f937da5d097f8f5e492c3a0bb1c99858a0e644ed7456ba66370,injector_and_evaluator_only
human_gold_000005,h_4132aa9f914dd400,h_370dd64734647db8,data\annotations\formal300\evidence_annotation_a.csv,8faf9548291eecf968a99005a51601f5e2d989c0bd2fc153196974a8d8513773,injector_and_evaluator_only
human_gold_000006,h_4132aa9f914dd400,h_3e1bde9bf6cbfbee,data\annotations\formal300\evidence_annotation_a.csv,1fc39090a0723caa3548b19342bb61d02050cce59afa6e3ec4bfe90946847051,injector_and_evaluator_only
human_gold_000007,h_4132aa9f914dd400,h_6359d813cd164de8,data\annotations\formal300\evidence_annotation_a.csv,dcf8d7ff5093400d87383e8160177b4b68dcafd532bfc31860b8462884499f35,injector_and_evaluator_only
human_gold_000008,h_4132aa9f914dd400,h_96df7c8ab7c0dc85,data\annotations\formal300\evidence_annotation_a.csv,0269e888dcbf5d332ebdfa857054b311334180d44f076bac1bc1f0e575004d00,injector_and_evaluator_only
human_gold_000009,h_7cd56a963461eba8,h_33dfd0535fc1f586,data\annotations\formal300\evidence_annotation_a.csv,736f6608c30d2dd60c4a3b96ab8d0ec21aae1aad08fa8a3239534a6a8e99ee6d,injector_and_evaluator_only
human_gold_000010,h_21845abacd62a0c3,h_08a45ef6f528a848,data\annotations\formal300\evidence_annotation_a.csv,994e44504c09e3b1c2fc0f7cc1162836e4105084750561ce8e05857a3f456c1d,injector_and_evaluator_only
