case_id,detector,is_leak,family,pattern_id,rate,seed,hard_clean,detected,tp,fp,tn,fn,injected_qids,injected_candidates,injected_features,fallback_triggers,detection_correct,family_exact,source_exact,sink_exact,module_exact,field_exact,code_location_exact,code_location_within_3,path_valid,config_sha256,status
c_016e57250c5645a7,ast_static_dataflow,True,Leak-R,R3,0.1,11,False,False,0,0,0,1,1,15,0,1,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_016e57250c5645a7,schema_guard,True,Leak-R,R3,0.1,11,False,False,0,0,0,1,1,15,0,1,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_016e57250c5645a7,invariance,True,Leak-R,R3,0.1,11,False,False,0,0,0,1,1,15,0,1,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_0337ee8e95fc4c30,ast_static_dataflow,True,Leak-M,M1,1.0,11,False,False,0,0,0,1,7,15,0,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_0fb926f7378948c2,ast_static_dataflow,True,Leak-R,R2,0.5,11,False,False,0,0,0,1,4,60,0,4,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_0fb926f7378948c2,schema_guard,True,Leak-R,R2,0.5,11,False,False,0,0,0,1,4,60,0,4,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_0fb926f7378948c2,invariance,True,Leak-R,R2,0.5,11,False,False,0,0,0,1,4,60,0,4,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_1c888b5039314b44,ast_static_dataflow,True,Leak-F,F3,1.0,11,False,False,0,0,0,1,7,105,7,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_1c888b5039314b44,schema_guard,True,Leak-F,F3,1.0,11,False,False,0,0,0,1,7,105,7,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_1c888b5039314b44,invariance,True,Leak-F,F3,1.0,11,False,False,0,0,0,1,7,105,7,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_217dbdab703b4b70,ast_static_dataflow,True,Leak-F,F4,0.1,11,False,False,0,0,0,1,1,15,1,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_217dbdab703b4b70,schema_guard,True,Leak-F,F4,0.1,11,False,False,0,0,0,1,1,15,1,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_217dbdab703b4b70,invariance,True,Leak-F,F4,0.1,11,False,False,0,0,0,1,1,15,1,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_2b47837694ae4f1b,ast_static_dataflow,True,Leak-M,M1,0.5,11,False,False,0,0,0,1,4,5,0,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_2f3efd7aa03049d7,ast_static_dataflow,True,Leak-R,R4,0.1,11,False,False,0,0,0,1,1,15,0,1,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_2f3efd7aa03049d7,schema_guard,True,Leak-R,R4,0.1,11,False,False,0,0,0,1,1,15,0,1,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_2f3efd7aa03049d7,invariance,True,Leak-R,R4,0.1,11,False,False,0,0,0,1,1,15,0,1,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_3095d6195ad44fdc,ast_static_dataflow,True,Leak-M,M2,0.1,11,False,False,0,0,0,1,1,1,0,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_3095d6195ad44fdc,invariance,True,Leak-M,M2,0.1,11,False,False,0,0,0,1,1,1,0,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_387d494f03c1487e,ast_static_dataflow,True,Leak-F,F2,1.0,11,False,False,0,0,0,1,7,105,7,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_387d494f03c1487e,schema_guard,True,Leak-F,F2,1.0,11,False,False,0,0,0,1,7,105,7,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_387d494f03c1487e,invariance,True,Leak-F,F2,1.0,11,False,False,0,0,0,1,7,105,7,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_44e48d8e577c47fb,ast_static_dataflow,True,Leak-F,F3,0.5,11,False,False,0,0,0,1,4,60,4,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_44e48d8e577c47fb,schema_guard,True,Leak-F,F3,0.5,11,False,False,0,0,0,1,4,60,4,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_44e48d8e577c47fb,invariance,True,Leak-F,F3,0.5,11,False,False,0,0,0,1,4,60,4,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
c_5098e6020128428a,ast_static_dataflow,True,Leak-M,M1,0.1,11,False,False,0,0,0,1,1,1,0,0,False,False,False,False,False,False,False,False,False,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,REPRODUCED
