case_id,pattern,source_calls,sink_calls,changed_set,changed_order,changed_doc_count,first_changed_rank,leak_level
c_0187a63e50994fb6,Clean,0,0,False,False,0,,NO_LEAK
c_055eb84c838e4ce4,R1,60,60,False,False,0,,ACCESS_LEAK
c_05af913055d545c4,F1,60,60,False,False,0,,ACCESS_LEAK
c_0685cff7c83149b5,Clean,0,0,False,False,0,,NO_LEAK
c_0c83fb8f6fc140fd,Clean,0,0,False,False,0,,NO_LEAK
c_0d4b266a1ba64563,F4,60,60,False,False,0,,ACCESS_LEAK
c_20410dc3c4164ab5,F2,60,60,False,False,0,,ACCESS_LEAK
c_212aac7a649b42e5,Clean,0,0,False,False,0,,NO_LEAK
c_26e82c8b21f2475b,F2,60,60,False,False,0,,ACCESS_LEAK
c_26e92205373e40e5,M4,12,12,True,True,10,1,BEHAVIORAL_LEAK
c_27eb3b8e28c6485a,Clean,0,0,False,False,0,,NO_LEAK
c_2d3fe5eb9c8d4f44,Clean,0,0,False,False,0,,NO_LEAK
c_30808abc21484402,Clean,0,0,False,False,0,,NO_LEAK
c_363d0dac024648b8,M4,12,12,True,True,10,1,BEHAVIORAL_LEAK
c_390d49198f564b0e,Clean,0,0,False,False,0,,NO_LEAK
c_397f832f810b4f3d,M3,12,12,True,True,10,1,BEHAVIORAL_LEAK
c_39a5e2ebdc984486,R4,60,60,False,False,0,,ACCESS_LEAK
c_3caa2b3de9164aab,Clean,0,0,False,False,0,,NO_LEAK
c_3e4c49330aab414a,Clean,0,0,False,False,0,,NO_LEAK
c_41f4494adbd442ee,M1,12,12,True,True,10,1,BEHAVIORAL_LEAK
c_42c3f470897a4ff4,R1,60,60,False,False,0,,ACCESS_LEAK
c_46712de048324682,Clean,0,0,False,False,0,,NO_LEAK
c_469fb00097ca4d31,Clean,0,0,False,False,0,,NO_LEAK
c_490ca654b70b4642,R2,60,60,False,False,0,,ACCESS_LEAK
c_4b588e54d0714221,Clean,0,0,False,False,0,,NO_LEAK
c_4d3af90c43a847f2,M3,12,12,False,False,0,,ACCESS_LEAK
c_4e93228e0e6b4874,R3,60,60,False,False,0,,ACCESS_LEAK
c_51980c11cf5b4a76,Clean,0,0,False,False,0,,NO_LEAK
c_53b64d35d8634c91,Clean,0,0,False,False,0,,NO_LEAK
c_55442bdbaf244d5f,Clean,0,0,False,False,0,,NO_LEAK
c_59cd3ebc7508427c,Clean,0,0,False,False,0,,NO_LEAK
c_5ee6a3f78cfe405b,R2,60,60,False,False,0,,ACCESS_LEAK
c_5fc080834c9940a4,F3,60,60,False,False,0,,ACCESS_LEAK
c_63b58ebcb32d4f86,F1,60,60,False,False,0,,ACCESS_LEAK
c_6c466ec159284607,Clean,0,0,False,False,0,,NO_LEAK
c_6f2b6849a4fa4461,Clean,0,0,False,False,0,,NO_LEAK
c_70fd57f946d3414c,Clean,0,0,False,False,0,,NO_LEAK
c_7262eced476b4450,Clean,0,0,False,False,0,,NO_LEAK
c_738cd47f83f6452c,Clean,0,0,False,False,0,,NO_LEAK
c_79a2a42e9891414b,Clean,0,0,False,False,0,,NO_LEAK
c_7cc47efb419b46c1,Clean,0,0,False,False,0,,NO_LEAK
c_7e0b712315a24637,Clean,0,0,False,False,0,,NO_LEAK
c_808260a47d104e81,Clean,0,0,False,False,0,,NO_LEAK
c_814e484eaf104eba,M4,12,12,True,True,10,1,BEHAVIORAL_LEAK
c_85da3dd610524405,Clean,0,0,False,False,0,,NO_LEAK
c_89781bc28b3e4828,Clean,0,0,False,False,0,,NO_LEAK
c_8aea3d8a7b8042a8,Clean,0,0,False,False,0,,NO_LEAK
c_8da818762d0944ba,Clean,0,0,False,False,0,,NO_LEAK
c_94d4e24fb4fe41c5,Clean,0,0,False,False,0,,NO_LEAK
c_980d708a3c6748f6,Clean,0,0,False,False,0,,NO_LEAK
c_9a30535f9b1f4d40,R4,60,60,False,False,0,,ACCESS_LEAK
c_9f395fbeefd448e2,Clean,0,0,False,False,0,,NO_LEAK
c_a413cd8fc68d458a,Clean,0,0,False,False,0,,NO_LEAK
c_a8946068cc6b4326,Clean,0,0,False,False,0,,NO_LEAK
c_a8faf2055fda4a1d,Clean,0,0,False,False,0,,NO_LEAK
c_ac4c9c7f69994c7e,R4,60,60,False,False,0,,ACCESS_LEAK
c_aecd8f5717c74e89,M2,12,12,True,True,10,1,BEHAVIORAL_LEAK
c_b113accfd83a424f,M3,12,12,True,True,10,1,BEHAVIORAL_LEAK
c_b139e6f75e9f4d3a,Clean,0,0,False,False,0,,NO_LEAK
c_b2dd0a0a183b43ae,Clean,0,0,False,False,0,,NO_LEAK
c_b3a3b48fcf504558,M2,12,12,True,True,10,1,BEHAVIORAL_LEAK
c_b3e84a6aa8c1404c,F1,60,60,False,False,0,,ACCESS_LEAK
c_b507d73eb8c6455d,F3,60,60,False,False,0,,ACCESS_LEAK
c_b5f8690113c549f1,F4,60,60,False,False,0,,ACCESS_LEAK
c_ba78ff72eb9a4b7c,Clean,0,0,False,False,0,,NO_LEAK
c_bab09f6fcd354ef1,Clean,0,0,False,False,0,,NO_LEAK
c_bc098f1aba9e4de0,Clean,0,0,False,False,0,,NO_LEAK
c_be4e5bd7699446c8,Clean,0,0,False,False,0,,NO_LEAK
c_be7f718673994539,F3,60,60,False,False,0,,ACCESS_LEAK
c_be9ad6022c024bdf,F4,60,60,False,False,0,,ACCESS_LEAK
c_bf6bb5a7d03e4c6b,Clean,0,0,False,False,0,,NO_LEAK
c_bfeea2e5126248ae,Clean,0,0,False,False,0,,NO_LEAK
c_c0f9b0379ae94ac6,Clean,0,0,False,False,0,,NO_LEAK
c_c2322518c4564edd,R2,60,60,False,False,0,,ACCESS_LEAK
c_cb1269e59c0440ae,R3,60,60,False,False,0,,ACCESS_LEAK
c_cb57238e779a4852,M1,12,12,True,True,10,1,BEHAVIORAL_LEAK
c_ce07fce844884112,Clean,0,0,False,False,0,,NO_LEAK
c_ce90ac70739c47bb,Clean,0,0,False,False,0,,NO_LEAK
c_d699eecf957546a7,Clean,0,0,False,False,0,,NO_LEAK
c_dad2a6901e184116,M2,12,12,True,True,10,1,BEHAVIORAL_LEAK
c_db70eab492ac4397,Clean,0,0,False,False,0,,NO_LEAK
c_dc6c6fdcf7284105,Clean,0,0,False,False,0,,NO_LEAK
c_dc72fd4c3aee4f46,R1,60,60,False,False,0,,ACCESS_LEAK
c_dce9274d2c8a4437,Clean,0,0,False,False,0,,NO_LEAK
c_dd199e31029545f0,R3,60,60,False,False,0,,ACCESS_LEAK
c_e1a9fe0b2f284e8e,Clean,0,0,False,False,0,,NO_LEAK
c_e58bd977eeb54d51,Clean,0,0,False,False,0,,NO_LEAK
c_e7cc52780b054aa0,Clean,0,0,False,False,0,,NO_LEAK
c_ed0285da457c4afa,Clean,0,0,False,False,0,,NO_LEAK
c_ef593febb1794cb8,Clean,0,0,False,False,0,,NO_LEAK
c_f5200c8c2a164858,Clean,0,0,False,False,0,,NO_LEAK
c_f5a11c812bd3422c,Clean,0,0,False,False,0,,NO_LEAK
c_f68db75358be43d1,M1,12,12,True,True,10,1,BEHAVIORAL_LEAK
c_f84739a05fc84bb0,Clean,0,0,False,False,0,,NO_LEAK
c_fae80a5b0eb244b2,F2,60,60,False,False,0,,ACCESS_LEAK
c_faf6c82dc2654b24,Clean,0,0,False,False,0,,NO_LEAK
