qid,condition,question_id,selected_doc_ids,demand_cov_5,ndcg_10,faithfulness,answer_relevance,demand_completeness,overall_utility,unsupported_claim,critical_risk_omission,retrieval_source_file,score_source_file
10010888,B0,A0000,"[""WMA_ac9c95d776198a70"", ""WMA_488b25f9c874afd8"", ""WMA_5999899a94dbb80a"", ""WMA_d62abdf149c552b3"", ""56547""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
10010888,D0,A0001,"[""WMA_488b25f9c874afd8"", ""WMA_5999899a94dbb80a"", ""WMA_ac9c95d776198a70"", ""WMA_d62abdf149c552b3"", ""56547""]",1.0,0.6489315753318465,2.0,2.0,2.0,2.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
10010888,D3_TFIDF,A0002,"[""WMA_d62abdf149c552b3"", ""WMA_ac9c95d776198a70"", ""WMA_488b25f9c874afd8"", ""WMA_5999899a94dbb80a"", ""WMA_ac9c85c54d90ab5f""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
10010888,D3_E2_ROBERTA,A0003,"[""WMA_ac9c95d776198a70"", ""WMA_82e5eb790902e77c"", ""WMA_728aed79d4faf8dd"", ""WMA_ac9c85c54d90ab5f"", ""WMA_488b25f9c874afd8""]",1.0,0.648932,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
12880872,B0,A0004,"[""WMA_a1deb781fe46c0e2"", ""14864"", ""WMA_05e49b6d3d7d1996"", ""WMA_ed2ef2f1cd68bfd3"", ""23127""]",1.0,0.693022,2.0,2.0,1.0,1.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
12880872,D0,A0005,"[""40154"", ""WMA_a1deb781fe46c0e2"", ""14864"", ""WMA_05e49b6d3d7d1996"", ""WMA_ed2ef2f1cd68bfd3""]",1.0,0.6930221935231562,2.0,2.0,1.0,1.0,0.0,0.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
12880872,D3_TFIDF,A0006,"[""WMA_13405dd4a27467a2"", ""WMA_a1deb781fe46c0e2"", ""14864"", ""WMA_ed2ef2f1cd68bfd3"", ""40154""]",1.0,0.693022,2.0,2.0,2.0,2.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
12880872,D3_E2_ROBERTA,A0007,"[""14864"", ""WMA_a1deb781fe46c0e2"", ""WMA_05e49b6d3d7d1996"", ""WMA_ed2ef2f1cd68bfd3"", ""23127""]",1.0,0.693022,2.0,2.0,1.0,1.0,0.0,0.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
13001321,B0,A0008,"[""WMA_d076683383426471"", ""WMA_4087532f2385980e"", ""WMA_a11ad77c25b779e5"", ""WMA_a1c7ec04c9ebe522"", ""WMA_2123cf361a0d65b8""]",1.0,0.650821,2.0,2.0,2.0,1.0,0.0,1.0,strong_e2_d2_d3_per_query.jsonl,strong_e2_d2_d3_per_query.jsonl
13001321,D0,A0009,"[""WMA_2123cf361a0d65b8"", ""WMA_d076683383426471"", ""WMA_4087532f2385980e"", ""WMA_a11ad77c25b779e5"", ""WMA_a1c7ec04c9ebe522""]",1.0,0.7653606369886218,2.0,2.0,1.0,1.0,0.0,1.0,phase6b_r7/{split}_per_query.jsonl (D0),phase6b_r7/{split}_per_query.jsonl
