method,D01_symptom_course,D02_cause_diagnosis,D03_treatment_medication,D04_population_history,D05_care_emergency,D06_mental_safety
formal_train|B0|K3,-,-,-,-,-,-
formal_train|B0|K5,-,-,-,-,-,-
formal_train|B0|K7,-,-,-,-,-,-
formal_train|MMR|K3,-,-,-,-,-,-
formal_train|MMR|K5,-,-,-,-,-,-
formal_train|MMR|K7,-,-,-,-,-,-
formal_train|D3_TFIDF|K3,-,-,-,-,-,-
formal_train|D3_TFIDF|K5,-,-,-,-,-,-
formal_train|D3_TFIDF|K7,-,-,-,-,-,-
internal_blind|B0|K3,-,-,-,-,-,-
internal_blind|B0|K5,-,-,-,-,-,-
internal_blind|B0|K7,-,-,-,-,-,-
internal_blind|MMR|K3,-,-,-,-,-,-
internal_blind|MMR|K5,-,-,-,-,-,-
internal_blind|MMR|K7,-,-,-,-,-,-
internal_blind|D3_TFIDF|K3,-,-,-,-,-,-
internal_blind|D3_TFIDF|K5,-,-,-,-,-,-
internal_blind|D3_TFIDF|K7,-,-,-,-,-,-
cmedqa2_external|B0|K3,-,-,-,-,-,-
cmedqa2_external|B0|K5,-,-,-,-,-,-
cmedqa2_external|B0|K7,-,-,-,-,-,-
cmedqa2_external|MMR|K3,-,-,-,-,-,-
cmedqa2_external|MMR|K5,-,-,-,-,-,-
cmedqa2_external|MMR|K7,-,-,-,-,-,-
cmedqa2_external|D3_TFIDF|K3,-,-,-,-,-,-
cmedqa2_external|D3_TFIDF|K5,-,-,-,-,-,-
cmedqa2_external|D3_TFIDF|K7,-,-,-,-,-,-
