detected,predicted_family,source_type,sink,module,field,file,line,path_valid,evidence,case_id,detector,config_sha256,policy_sha256,status
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_016e57250c5645a7,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_016e57250c5645a7,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_016e57250c5645a7,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,EvidenceGold,candidate_scoring,selector,aux_71,runtime_taint_trace.jsonl,,True,taint reached deployment sink,c_016e57250c5645a7,runtime_taint,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_016e57250c5645a7,invariance,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,EvidenceGold,candidate_scoring,selector,aux_71,runtime_taint_trace.jsonl,,True,full_audit_component=runtime_taint; taint reached deployment sink,c_016e57250c5645a7,full_audit,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,keyword_static_baseline,label,adapter.py,,,keyword:label,c_0337ee8e95fc4c30,keyword_static_baseline,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
False,,,,,,,,,,c_0337ee8e95fc4c30,ast_static_dataflow,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,,,schema_guard,aux_11,,,,extra metadata field,c_0337ee8e95fc4c30,schema_guard,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
True,UNKNOWN_LEAK,EvidenceGold,candidate_scoring,selector,aux_11,runtime_taint_trace.jsonl,,True,taint reached deployment sink,c_0337ee8e95fc4c30,runtime_taint,c69fff36c89963f0a8a55bd267584fe3b32aad093936e970cae5aac6d917ea90,4640ce4a3328e6b8b4e4383e059d2e1d0bb0bc06625b1b637acee6b99986ee1f,REPRODUCED
