case_id,detector,pattern_id,family,detected,error,reason
c_055eb84c838e4ce4,ast_static_dataflow,R1,Leak-R,False,,FALSE_NEGATIVE
c_055eb84c838e4ce4,schema_guard,R1,Leak-R,False,,FALSE_NEGATIVE
c_055eb84c838e4ce4,invariance,R1,Leak-R,False,,FALSE_NEGATIVE
c_05af913055d545c4,ast_static_dataflow,F1,Leak-F,False,,FALSE_NEGATIVE
c_05af913055d545c4,schema_guard,F1,Leak-F,False,,FALSE_NEGATIVE
c_05af913055d545c4,invariance,F1,Leak-F,False,,FALSE_NEGATIVE
c_0d4b266a1ba64563,ast_static_dataflow,F4,Leak-F,False,,FALSE_NEGATIVE
c_0d4b266a1ba64563,schema_guard,F4,Leak-F,False,,FALSE_NEGATIVE
c_0d4b266a1ba64563,invariance,F4,Leak-F,False,,FALSE_NEGATIVE
c_20410dc3c4164ab5,ast_static_dataflow,F2,Leak-F,False,,FALSE_NEGATIVE
c_20410dc3c4164ab5,schema_guard,F2,Leak-F,False,,FALSE_NEGATIVE
c_20410dc3c4164ab5,invariance,F2,Leak-F,False,,FALSE_NEGATIVE
c_26e82c8b21f2475b,ast_static_dataflow,F2,Leak-F,False,,FALSE_NEGATIVE
c_26e82c8b21f2475b,schema_guard,F2,Leak-F,False,,FALSE_NEGATIVE
c_26e82c8b21f2475b,invariance,F2,Leak-F,False,,FALSE_NEGATIVE
c_26e92205373e40e5,ast_static_dataflow,M4,Leak-M,False,,FALSE_NEGATIVE
c_363d0dac024648b8,ast_static_dataflow,M4,Leak-M,False,,FALSE_NEGATIVE
c_397f832f810b4f3d,ast_static_dataflow,M3,Leak-M,False,,FALSE_NEGATIVE
c_39a5e2ebdc984486,ast_static_dataflow,R4,Leak-R,False,,FALSE_NEGATIVE
c_39a5e2ebdc984486,schema_guard,R4,Leak-R,False,,FALSE_NEGATIVE
c_39a5e2ebdc984486,invariance,R4,Leak-R,False,,FALSE_NEGATIVE
c_41f4494adbd442ee,ast_static_dataflow,M1,Leak-M,False,,FALSE_NEGATIVE
c_42c3f470897a4ff4,ast_static_dataflow,R1,Leak-R,False,,FALSE_NEGATIVE
c_42c3f470897a4ff4,schema_guard,R1,Leak-R,False,,FALSE_NEGATIVE
c_42c3f470897a4ff4,invariance,R1,Leak-R,False,,FALSE_NEGATIVE
c_490ca654b70b4642,ast_static_dataflow,R2,Leak-R,False,,FALSE_NEGATIVE
c_490ca654b70b4642,schema_guard,R2,Leak-R,False,,FALSE_NEGATIVE
c_490ca654b70b4642,invariance,R2,Leak-R,False,,FALSE_NEGATIVE
c_4d3af90c43a847f2,ast_static_dataflow,M3,Leak-M,False,,FALSE_NEGATIVE
c_4d3af90c43a847f2,invariance,M3,Leak-M,False,,FALSE_NEGATIVE
c_4e93228e0e6b4874,ast_static_dataflow,R3,Leak-R,False,,FALSE_NEGATIVE
c_4e93228e0e6b4874,schema_guard,R3,Leak-R,False,,FALSE_NEGATIVE
