case_id,variant,detector,detected,module,field,evidence
hn_001,uses_public,keyword_static_baseline,True,keyword_static_baseline,gold,keyword:gold
hn_001,uses_public,ast_static_dataflow,False,,,
hn_001,uses_public,schema_guard,False,,,
hn_001,uses_public,runtime_taint,False,,,
hn_001,uses_public,invariance,False,,,
hn_001,uses_public,full_audit,False,,,
hn_002,uses_public,keyword_static_baseline,True,keyword_static_baseline,gold,keyword:gold
hn_002,uses_public,ast_static_dataflow,False,,,
hn_002,uses_public,schema_guard,False,,,
hn_002,uses_public,runtime_taint,False,,,
hn_002,uses_public,invariance,False,,,
hn_002,uses_public,full_audit,False,,,
hn_003,uses_public,keyword_static_baseline,True,keyword_static_baseline,gold,keyword:gold
hn_003,uses_public,ast_static_dataflow,False,,,
hn_003,uses_public,schema_guard,False,,,
hn_003,uses_public,runtime_taint,False,,,
hn_003,uses_public,invariance,False,,,
hn_003,uses_public,full_audit,False,,,
hn_004,uses_public,keyword_static_baseline,True,keyword_static_baseline,gold,keyword:gold
hn_004,uses_public,ast_static_dataflow,False,,,
hn_004,uses_public,schema_guard,False,,,
hn_004,uses_public,runtime_taint,False,,,
hn_004,uses_public,invariance,False,,,
hn_004,uses_public,full_audit,False,,,
hn_005,uses_public,keyword_static_baseline,True,keyword_static_baseline,gold,keyword:gold
hn_005,uses_public,ast_static_dataflow,False,,,
hn_005,uses_public,schema_guard,False,,,
hn_005,uses_public,runtime_taint,False,,,
hn_005,uses_public,invariance,False,,,
hn_005,uses_public,full_audit,False,,,
hn_006,uses_public,keyword_static_baseline,True,keyword_static_baseline,gold,keyword:gold
hn_006,uses_public,ast_static_dataflow,False,,,
hn_006,uses_public,schema_guard,False,,,
hn_006,uses_public,runtime_taint,False,,,
hn_006,uses_public,invariance,False,,,
hn_006,uses_public,full_audit,False,,,
hn_007,uses_public,keyword_static_baseline,True,keyword_static_baseline,gold,keyword:gold
hn_007,uses_public,ast_static_dataflow,False,,,
hn_007,uses_public,schema_guard,False,,,
hn_007,uses_public,runtime_taint,False,,,
hn_007,uses_public,invariance,False,,,
hn_007,uses_public,full_audit,False,,,
hn_008,uses_public,keyword_static_baseline,True,keyword_static_baseline,gold,keyword:gold
hn_008,uses_public,ast_static_dataflow,False,,,
hn_008,uses_public,schema_guard,False,,,
hn_008,uses_public,runtime_taint,False,,,
hn_008,uses_public,invariance,False,,,
hn_008,uses_public,full_audit,False,,,
hn_009,uses_public,keyword_static_baseline,True,keyword_static_baseline,gold,keyword:gold
hn_009,uses_public,ast_static_dataflow,False,,,
hn_009,uses_public,schema_guard,False,,,
hn_009,uses_public,runtime_taint,False,,,
hn_009,uses_public,invariance,False,,,
hn_009,uses_public,full_audit,False,,,
hn_010,uses_public,keyword_static_baseline,True,keyword_static_baseline,gold,keyword:gold
hn_010,uses_public,ast_static_dataflow,False,,,
hn_010,uses_public,schema_guard,False,,,
hn_010,uses_public,runtime_taint,False,,,
hn_010,uses_public,invariance,False,,,
hn_010,uses_public,full_audit,False,,,
hn_011,uses_public,keyword_static_baseline,True,keyword_static_baseline,gold,keyword:gold
hn_011,uses_public,ast_static_dataflow,False,,,
hn_011,uses_public,schema_guard,False,,,
hn_011,uses_public,runtime_taint,False,,,
hn_011,uses_public,invariance,False,,,
hn_011,uses_public,full_audit,False,,,
hn_012,uses_public,keyword_static_baseline,True,keyword_static_baseline,gold,keyword:gold
hn_012,uses_public,ast_static_dataflow,False,,,
hn_012,uses_public,schema_guard,False,,,
hn_012,uses_public,runtime_taint,False,,,
hn_012,uses_public,invariance,False,,,
hn_012,uses_public,full_audit,False,,,
hn_013,public_only,keyword_static_baseline,True,keyword_static_baseline,label,keyword:label
hn_013,public_only,ast_static_dataflow,False,,,
hn_013,public_only,schema_guard,False,,,
hn_013,public_only,runtime_taint,False,,,
hn_013,public_only,invariance,False,,,
hn_013,public_only,full_audit,False,,,
hn_014,public_only,keyword_static_baseline,True,keyword_static_baseline,label,keyword:label
hn_014,public_only,ast_static_dataflow,False,,,
hn_014,public_only,schema_guard,False,,,
hn_014,public_only,runtime_taint,False,,,
hn_014,public_only,invariance,False,,,
hn_014,public_only,full_audit,False,,,
hn_015,public_only,keyword_static_baseline,True,keyword_static_baseline,label,keyword:label
hn_015,public_only,ast_static_dataflow,False,,,
hn_015,public_only,schema_guard,False,,,
hn_015,public_only,runtime_taint,False,,,
hn_015,public_only,invariance,False,,,
hn_015,public_only,full_audit,False,,,
hn_016,public_only,keyword_static_baseline,True,keyword_static_baseline,label,keyword:label
hn_016,public_only,ast_static_dataflow,False,,,
hn_016,public_only,schema_guard,False,,,
hn_016,public_only,runtime_taint,False,,,
hn_016,public_only,invariance,False,,,
hn_016,public_only,full_audit,False,,,
hn_017,public_only,keyword_static_baseline,True,keyword_static_baseline,label,keyword:label
hn_017,public_only,ast_static_dataflow,False,,,
hn_017,public_only,schema_guard,False,,,
hn_017,public_only,runtime_taint,False,,,
hn_017,public_only,invariance,False,,,
hn_017,public_only,full_audit,False,,,
hn_018,public_only,keyword_static_baseline,True,keyword_static_baseline,label,keyword:label
hn_018,public_only,ast_static_dataflow,False,,,
hn_018,public_only,schema_guard,False,,,
hn_018,public_only,runtime_taint,False,,,
hn_018,public_only,invariance,False,,,
hn_018,public_only,full_audit,False,,,
