case_id,kind,pattern_id,detector,detected,evidence
N1_1,leak,N1,keyword_static_baseline,True,keyword:label
N1_1,leak,N1,ast_static_dataflow,True,tainted argument flows to feature_builder.append_feature
N1_1,leak,N1,schema_guard,False,
N1_1,leak,N1,runtime_taint,True,taint reached deployment sink
N1_1,leak,N1,invariance,False,
N1_1,leak,N1,full_audit,True,full_audit_component=runtime_taint; taint reached deployment
N1_1,class,N1,invariance_class,False,changed_qids=0
N1_2,leak,N1,keyword_static_baseline,True,keyword:label
N1_2,leak,N1,ast_static_dataflow,True,tainted argument flows to feature_builder.append_feature
N1_2,leak,N1,schema_guard,False,
N1_2,leak,N1,runtime_taint,True,taint reached deployment sink
N1_2,leak,N1,invariance,False,
N1_2,leak,N1,full_audit,True,full_audit_component=runtime_taint; taint reached deployment
N1_2,class,N1,invariance_class,False,changed_qids=0
N1_3,leak,N1,keyword_static_baseline,True,keyword:label
N1_3,leak,N1,ast_static_dataflow,True,tainted argument flows to feature_builder.append_feature
N1_3,leak,N1,schema_guard,False,
N1_3,leak,N1,runtime_taint,True,taint reached deployment sink
N1_3,leak,N1,invariance,False,
N1_3,leak,N1,full_audit,True,full_audit_component=runtime_taint; taint reached deployment
N1_3,class,N1,invariance_class,False,changed_qids=0
N2_1,leak,N2,keyword_static_baseline,True,keyword:label
N2_1,leak,N2,ast_static_dataflow,True,tainted argument flows to selector.score_candidate
N2_1,leak,N2,schema_guard,False,
N2_1,leak,N2,runtime_taint,True,taint reached deployment sink
N2_1,leak,N2,invariance,False,
N2_1,leak,N2,full_audit,True,full_audit_component=runtime_taint; taint reached deployment
N2_1,class,N2,invariance_class,False,changed_qids=0
N2_2,leak,N2,keyword_static_baseline,True,keyword:label
N2_2,leak,N2,ast_static_dataflow,True,tainted argument flows to selector.score_candidate
N2_2,leak,N2,schema_guard,False,
N2_2,leak,N2,runtime_taint,True,taint reached deployment sink
N2_2,leak,N2,invariance,False,
N2_2,leak,N2,full_audit,True,full_audit_component=runtime_taint; taint reached deployment
N2_2,class,N2,invariance_class,False,changed_qids=0
N2_3,leak,N2,keyword_static_baseline,True,keyword:label
N2_3,leak,N2,ast_static_dataflow,True,tainted argument flows to selector.score_candidate
