case_id,kind,pattern_id,method,detector,detected
dense_N1_1,leak,N1,dense,keyword_static_baseline,True
dense_N1_1,leak,N1,dense,ast_static_dataflow,True
dense_N1_1,leak,N1,dense,schema_guard,False
dense_N1_1,leak,N1,dense,runtime_taint,True
dense_N1_1,leak,N1,dense,invariance,False
dense_N1_1,leak,N1,dense,full_audit,True
dense_N1_1,class,N1,dense,invariance_class,False
dense_N1_2,leak,N1,dense,keyword_static_baseline,True
dense_N1_2,leak,N1,dense,ast_static_dataflow,True
dense_N1_2,leak,N1,dense,schema_guard,False
dense_N1_2,leak,N1,dense,runtime_taint,True
dense_N1_2,leak,N1,dense,invariance,False
dense_N1_2,leak,N1,dense,full_audit,True
dense_N1_2,class,N1,dense,invariance_class,False
dense_N2_1,leak,N2,dense,keyword_static_baseline,True
dense_N2_1,leak,N2,dense,ast_static_dataflow,True
dense_N2_1,leak,N2,dense,schema_guard,False
dense_N2_1,leak,N2,dense,runtime_taint,True
dense_N2_1,leak,N2,dense,invariance,False
dense_N2_1,leak,N2,dense,full_audit,True
dense_N2_1,class,N2,dense,invariance_class,False
dense_N2_2,leak,N2,dense,keyword_static_baseline,True
dense_N2_2,leak,N2,dense,ast_static_dataflow,True
dense_N2_2,leak,N2,dense,schema_guard,False
dense_N2_2,leak,N2,dense,runtime_taint,True
dense_N2_2,leak,N2,dense,invariance,False
dense_N2_2,leak,N2,dense,full_audit,True
dense_N2_2,class,N2,dense,invariance_class,False
dense_N3_1,leak,N3,dense,keyword_static_baseline,True
dense_N3_1,leak,N3,dense,ast_static_dataflow,True
dense_N3_1,leak,N3,dense,schema_guard,False
dense_N3_1,leak,N3,dense,runtime_taint,True
dense_N3_1,leak,N3,dense,invariance,False
dense_N3_1,leak,N3,dense,full_audit,True
dense_N3_1,class,N3,dense,invariance_class,False
dense_N3_2,leak,N3,dense,keyword_static_baseline,True
dense_N3_2,leak,N3,dense,ast_static_dataflow,True
dense_N3_2,leak,N3,dense,schema_guard,False
dense_N3_2,leak,N3,dense,runtime_taint,True
dense_N3_2,leak,N3,dense,invariance,False
dense_N3_2,leak,N3,dense,full_audit,True
dense_N3_2,class,N3,dense,invariance_class,False
dense_N4_1,leak,N4,dense,keyword_static_baseline,True
